TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
WIGUDUN - ALMA DE DOIS ESPÍRITOS;B2400259800000;26/06/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;78,9;;2024;;SALAS DE EXIBIÇÃO;SIM;BANANEIRA FILMES LTDA.;02.140.120/0001-10;RJ;RIO DE JANEIRO
WOODEN MADE;B2400228100000;05/06/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;6,2;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;COELHO BRANCO PRODUÇÕES LTDA;09.652.513/0001-51;PR;CURITIBA
X PEDRINHO;B2400050300000;05/02/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;84,1;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GR6 EVENTOS - PRODUTORA, GRAVADORA E EDITORA LTDA;17.977.383/0001-55;SP;SÃO PAULO
XANDOCA;B2400120100000;21/03/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;12,7;;2023;;OUTROS MERCADOS;NÃO;XINGU FILMES PRODUCOES CINEMATOGRAFICAS LTDA;26.499.838/0001-65;MT;CANARANA
XANDÃO TAVARES - MENINA FLOR;B2400102900000;11/03/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,4;;2019;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;FOTOGRAFE STUDIO LTDA;10.790.779/0001-40;RJ;RIO DAS OSTRAS
XODÓ JUNINO;B2400051800000;05/02/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;65,0;4;2024;2024;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;CLAUDIO ANTONIO SOUZA DE JESUS ¿ ME;11.157.228/0001-06;BA;SALVADOR
YOUFASHION - 5ª TEMPORADA;B2400067900000;16/02/2024;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;400;80;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;07.254.174/0001-20;RS;PORTO ALEGRE
YÃMÎ YAH-PÁ | FIM DA NOITE;B2400130500000;02/04/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;17,2;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;COURO DE RATO EDIÇÃO E PRODUÇÃO LTDA;22.865.259/0001-38;RJ;RIO DE JANEIRO
ZER00;B2400182900000;03/05/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,5;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;UCLÃ PRODUÇÕES E EVENTOS LTDA.;29.626.669/0001-75;RJ;RIO DE JANEIRO
ZERO A CEM (LIVE SESSION);B2400103100000;11/03/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,3;;2022;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MANGOLAB PRODUÇÕES ARTÍSTICAS LTDA;31.692.714/0001-31;RJ;RIO DE JANEIRO
