TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
DONA BEATRIZ ÑSÎMBA VITA;B2400177800000;30/04/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;20;;2024;;SALAS DE EXIBIÇÃO;NÃO;LEONARDO CATA PRETA SOUZA;PESSOA FÍSICA;MG;BELO HORIZONTE
DONA LURDES, O FILME;B2400089500000;01/03/2024;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;90;;2023;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
DONO DA VERDADE, CPM22;B2400191200000;09/05/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,9;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;REAL FILMES & PRODUÇÕES LTDA - ME;10.368.669/0001-94;SP;SÃO PAULO
DOPAMINA;B2400253300000;21/06/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,2;;2024;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;BRUNA DANTAS ALVES PRODUCOES;33.131.164/0001-07;RJ;RIO DE JANEIRO
DOPAMINA;B2400179000000;30/04/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,6;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;UCLÃ PRODUÇÕES E EVENTOS LTDA.;29.626.669/0001-75;RJ;RIO DE JANEIRO
DOPS: UMA ARQUEOLOGIA DA VIOLÊNCIA;B2400165000000;19/04/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;75,2;;2024;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;SANZIO DOLABELA CANFORA;PESSOA FÍSICA;MG;BELO HORIZONTE
DOR SURREAL;B2400186100000;07/05/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;8,8;;2024;;OUTROS MERCADOS;NÃO;30 PÉS FILMES LTDA.;07.447.850/0001-81;SP;SÃO PAULO
DRA. DARCI - 4ª TEMPORADA;B2400092200000;04/03/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;126,5;5;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;FORMATA PRODUCOES E CONTEUDO LTDA.;18.082.113/0001-49;SP;SÃO PAULO
DRAMATURGIAS;B2400052300000;06/02/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;338;13;2024;2024;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;R. SHIZUKO TAKAMATSU - FILMES;29.555.333/0001-69;PR;LONDRINA
DRAMISTAS;B2400020800000;16/01/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;76;;2024;;VIDEO DOMÉSTICO;NÃO;ARGUMENTO LTDA;29.373.466/0001-14;CE;MERUOCA
DUPLO RETRATO;B2400146800000;12/04/2024;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;22,0;;2024;;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;NÃO;BRUNA SABRINA COSTA E SILVA;PESSOA FÍSICA;PR;CURITIBA
DVD ALMA LIVRE PAZ E LUZ;B2400170400000;23/04/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;57,9;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;AGNALDO ALVES DOS SANTOS;PESSOA FÍSICA;SP;CAIEIRAS
DVD ATMOSFERA;B2400126300000;28/03/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;29,0;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;BEST PRODUCOES ARTISTICAS LTDA;24.809.258/0001-00;GO;FORMOSA
DÍVIDAS;B2400232200000;10/06/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,6;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;CLAUDIO WALLACE MENDES PEREIRA ***********;38.486.190/0001-71;PA;ANANINDEUA
DÓI;B2400171400000;24/04/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,0;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ALEXANDRA PEREIRA DOS SANTOS;PESSOA FÍSICA;RJ;RIO DE JANEIRO
E AÍ PROFESSOR? EDUCAÇÃO INTEGRAL;B2400014500000;11/01/2024;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;56;8;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;FUNDACAO ROBERTO MARINHO;29.527.413/0001-00;RJ;RIO DE JANEIRO
E SE?;B2400192000000;09/05/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,6;;2024;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;MOTIOM PRODUCOES VISUAIS LTDA;18.726.393/0001-80;SP;SÃO PAULO
EASTWOOD;B2400039300000;26/01/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;47,5;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;SABBATICAL ENTERTAINMENT BRASIL PRODUÇÕES AUDIOVISUAIS LTDA.;30.580.227/0001-14;SP;SÃO PAULO
ECOSSISTEMAS DE INOVAÇÃO: A REVOLUÇÃO AGRO;B2400083200000;26/02/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;70;;2023;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;PROSA PRESS PRODUÇÕES LTDA;07.606.096/0001-85;SP;SÃO PAULO
EDIFICANTE;B2400094000000;05/03/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;182,3;;2024;;SALAS DE EXIBIÇÃO;NÃO;TRINCHEIRA FILMES LTDA;12.091.067/0001-68;PE;OLINDA
EDUCADINHO - SEGUNDA TEMPORADA;B2400141200000;08/04/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;51;17;2022;2022;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;R. C. ROMERO - PRODUCOES - ME;19.325.284/0001-14;SP;SÃO PAULO
EDUCAMÍDIA 60+;B2400132100000;03/04/2024;DEFERIDO;JORNALÍSTICA;;COMUM;SERIADA EM TEMPORADA ÚNICA;13,0;7;2021;2022;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;INSTITUTO PALAVRA ABERTA;11.762.331/0001-85;SP;SÃO PAULO
EDUCAR PARA A SAÚDE;B2400130900000;03/04/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;51,2;;2024;;OUTROS MERCADOS;NÃO;PAULO SERGIO SILVA;14.554.904/0001-73;SP;SÃO PAULO
EDUCAÇÃO FINANCEIRA EM UM MUNDO EM TRANSFORMAÇÃO;B2400115700000;19/03/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;54,2;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;CANAL AZUL PRODUÇÕES CULTURAIS LTDA;01.613.170/0001-04;SP;SÃO PAULO
EDUCAÇÃO MIDIÁTICA NO DIA A DIA;B2400175200000;26/04/2024;DEFERIDO;VARIEDADES;Vídeoaula;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;24,9;8;2024;2024;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;INSTITUTO PALAVRA ABERTA;11.762.331/0001-85;SP;SÃO PAULO
EDUCAÇÃO PERMANENTE DE PRESERVAÇÃO DO PATRIMÔNIO;B2400130000000;02/04/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;18,2;;2024;;NENHUMA DAS OPÇÕES;NÃO;FRAME PRODUTORA AUDIOVISUAL - LTDA;37.317.214/0001-04;MG;CARANGOLA
EGILI - RAINHA RETINTA NO CARNAVAL;B2400092800000;04/03/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;80,8;;2024;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;53.012.189 LTDA;53.012.189/0001-07;AM;TEFÉ
EGLÊ;B2400089800000;01/03/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;82,2;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MARGOT FILMES LTDA;00.198.170/0001-22;SC;CHAPECÓ
EI MÔ;B2400212500000;21/05/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,5;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;SUPERNOVA ENTERTAINMENT LTDA;47.209.827/0001-73;SP;SÃO PAULO
EL AUGE DEL HUMANO 3;B2400244500000;14/06/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;121,8;;2024;;SALAS DE EXIBIÇÃO;SIM;ESTÚDIO GIZ PRODUÇÕES LTDA. - ME;19.457.687/0001-17;RJ;RIO DE JANEIRO
ELA É DEMAIS - CALLIZ & MHAYM;B2400214100000;21/05/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,7;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;PEDRO ROBERTO CAMPOS CAMPANA;PESSOA FÍSICA;SP;SÃO PAULO
ELA/DELA;B2400021800000;17/01/2024;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;5,8;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;FUNDACAO ROBERTO MARINHO;29.527.413/0001-00;RJ;RIO DE JANEIRO
ELAS POR ELAS;B2400050400000;05/02/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;20,0;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;RENATA DA SILVA;PESSOA FÍSICA;RJ;RIO DE JANEIRO
ELAS, DIVINAS;B2400179800000;30/04/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;93,6;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ELO AUDIOVISUAL SERVIÇOS LTDA;07.700.630/0001-18;SP;SÃO PAULO
ELES NÃO SÃO ESTRANGEIROS;B2400167300000;19/04/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;12;;2024;;SALAS DE EXIBIÇÃO;NÃO;PEDRO BUGHAY ACETI;PESSOA FÍSICA;SC;ITAJAÍ
EM BUSCA DA MINHA SORTE;B2400129800000;02/04/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,9;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ALEXANDRE SANTOS PASSOS;PESSOA FÍSICA;SP;SÃO PAULO
EM BUSCA DA MINHA SORTE;B2400133600000;03/04/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,4;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;LM MUSIC EMPREENDIMENTOS ARTISTICOS EIRELI;26.086.753/0001-55;RJ;RIO DE JANEIRO
EM BUSCA DA MINHA SORTE (DENNIS REMIX);B2400210400000;20/05/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,1;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;LM MUSIC EMPREENDIMENTOS ARTISTICOS EIRELI;26.086.753/0001-55;RJ;RIO DE JANEIRO
EM COMA;B2400190200000;09/05/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;20;10;2024;2024;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;TWIST COMPUTAÇÃO GRÁFICA LTDA;10.849.845/0001-00;MG;BELO HORIZONTE
EM NOME DA JUSTIÇA - 3ª TEMPORADA;B2400112900000;15/03/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;358,8;8;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;JPO ENTERTAINMENT LTDA;14.574.635/0001-07;SP;BARUERI
EM NOME DO PAI;B2400193200000;10/05/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;20;;2022;;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;NÃO;GOULART MULLER PRODUÇÃO AUDIOVISUAL LTDA;05.813.915/0001-30;RS;LAJEADO
ENCANTADO´S - 2ª TEMPORADA;B2400118800000;20/03/2024;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;420;12;2023;2023;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
ENCANTO QUEBRADO;B2400109900000;14/03/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;16,8;;2024;;SALAS DE EXIBIÇÃO;NÃO;CHÁ CINEMATOGRÁFICO DE SP LTDA - ME;15.316.382/0001-34;SP;SÃO PAULO
ENCONTRO COM PATRÍCIA POETA 2024;B2400001400000;03/01/2024;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;13100;262;2024;2024;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
ENCONTROS TELEPÁTICOS;B2400130400000;02/04/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,6;;2024;;NENHUMA DAS OPÇÕES;NÃO;49.422.666 HENRIQUE BARBOSA CURADO FILHO;49.422.666/0001-27;DF;BRASÍLIA
ENCRUZILHADA BAR;B2400228200000;05/06/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;10,4;;2024;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;COMARTE CULTURAL LTDA;22.570.887/0001-96;RN;NATAL
ENGADINSNOW;B2400118300000;20/03/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;24;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;NOVAS MIDIAS DIGITAIS PROGRAMADORA LTDA;07.906.636/0001-46;RJ;RIO DE JANEIRO
ENGASGO EM ADULTOS;B2400076100000;21/02/2024;DEFERIDO;VARIEDADES;Vídeoaula;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;0,9;;2024;;OUTROS MERCADOS;NÃO;RAIANNY DE SOUSA;PESSOA FÍSICA;PA;MARABÁ
ENGASGO EM BEBÊS - PRIMEIROS SOCORROS;B2400076200000;21/02/2024;DEFERIDO;VARIEDADES;Vídeoaula;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;1,2;;2024;;OUTROS MERCADOS;NÃO;RAIANNY DE SOUSA;PESSOA FÍSICA;PA;MARABÁ
ENGOLE O CHORO;B2400132600000;03/04/2024;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;11,8;;2024;;OUTROS MERCADOS;NÃO;FABIO RODRIGO APARECIDO DOS SANTOS;PESSOA FÍSICA;SP;SÃO PAULO
ENO;B2400162800000;17/04/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,7;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;V.F. PRODUCOES E EVENTOS ARTISTICOS LTDA - ME;08.767.093/0001-96;RJ;NITERÓI
ENQUANTO DURAR O VERÃO - PILOTO DE SÉRIE;B2400203100000;17/05/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;26;;2024;;OUTROS MERCADOS;NÃO;COSTA BARROS FILMES E PRODUÇÕES LTDA ME;08.794.303/0001-35;CE;FORTALEZA
ENQUANTO O CÉU NÃO ME ESPERA;B2400086600000;27/02/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;80;;2024;;SALAS DE EXIBIÇÃO;NÃO;PC DA R FREIRE PRODUÇÕES CINEMATOGRÁFICAS;13.993.337/0001-99;AM;MANAUS
ENREDOS DA LIBERDADE - O GRITO DO SAMBA PELA DEMOCRACIA;B2400082700000;23/02/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;150;5;2022;2022;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
ENSAIOS DE VERÃO 2024;B2400034600000;23/01/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;50;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
ENTRE CIGARROS;B2400197000000;13/05/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;20;;2024;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;IDEOGRAPH PRODUCOES ARTISTICAS LTDA - ME;02.412.547/0001-20;RJ;RIO DE JANEIRO
ENTRE FAMÍLIA;B2400250700000;19/06/2024;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA DE DURAÇÃO INDETERMINADA;18095;235;2024;2024;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;TELEVISAO CACHOEIRA DO SUL LTDA;89.784.037/0001-61;RS;CACHOEIRA DO SUL
ENTRE SOMBRAS E SONHOS;B2400150900000;15/04/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;14,4;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MAXWELL ROCHA POLIMANTI ***********;26.904.167/0001-70;SP;SÃO PAULO
ERA UMA VEZ, UM SONHO;B2400084200000;26/02/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;130;5;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GMB PRODUTORA DE CINEMA E VIDEO LTDA;09.011.546/0001-12;BA;SALVADOR
ERICK'S GROOMER RACE - 2ª TEMPORADA;B2400242200000;13/06/2024;DEFERIDO;REALITY-SHOW;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;280;10;2023;2023;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;JEFFERSON CLAUDINEI BRAZ;45.546.141/0001-42;PR;CURITIBA
ESCADA;B2400215900000;22/05/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,3;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;DANIEL BAROSA PRODUCOES CINEMATOGRAFICAS;16.996.201/0001-20;SP;SÃO PAULO
ESCOLA DE PAIS - COM DRª THAIS FARIA COELHO;B2400255400000;24/06/2024;DEFERIDO;VARIEDADES;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;338;13;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;LEBLON AUDIOVISUAL LTDA;42.457.308/0001-00;SP;SÃO PAULO
ESCOLARES UMUARAMA;B2400122800000;25/03/2024;DEFERIDO;MANIFESTAÇÕES E EVENTOS ESPORTIVOS;;COMUM;NÃO SERIADA;0,6;;2024;;NENHUMA DAS OPÇÕES;NÃO;42.379.407 MARCOS VINICIUS DA SILVA OLIVEIRA;42.379.407/0001-11;PR;UMUARAMA
ESCUMALHA;B2400024800000;19/01/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;89;;2024;;SALAS DE EXIBIÇÃO;NÃO;ARGONAUTAS DESIGN DE VIDEO LTDA - ME;06.178.269/0001-49;DF;BRASÍLIA
ESPECIAL ALAÍDE NEGÃO 13 ANOS;B2400033200000;22/01/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;80;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;07.254.174/0001-20;RS;PORTO ALEGRE
ESPECIAL C6;B2400231000000;07/06/2024;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;30;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;PLAYTV TELEVISÃO LTDA;07.121.705/0001-06;SP;SÃO PAULO
ESPECIAL DE PÁSCOA - EU CREIO;B2400109000000;13/03/2024;DEFERIDO;RELIGIOSA;;COMUM;SERIADA EM TEMPORADA ÚNICA;87;3;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;REDE NOVO TEMPO DE COMUNICACAO;01.385.423/0001-30;SP;JACAREÍ
ESPECIAL DIA DAS MÃES;B2400172600000;25/04/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;420;7;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;STARKE AGENCIAMENTO DE NEGÓCIOS LTDA;39.237.339/0001-41;SP;SÃO PAULO
